,Channel,Surevy year,Degree,Degree year,Nationality,Career (Aspiration or current),Crypto type,Crypto usage purpose,Crypto knowledge,Crypto usage duration (years),Trade performance,Remittance amount (%),Crypto knowledge source,Influenced family and friends,Intend to use crypto in future
6225,online,2022,STEM,1st,ME,Engineering,"BTC,ETH,ALT",remittance,+++,,,75,friends,Y,Y
6226,f2f,2021,Humanities,MSc,USA,Technology,"BTC,ALT","remittance,trans",+++,1,,75,study/research,N,Y
6227,f2f,2020,Business,MSc,Africa,Finance,BTC,trade,++,1,--,,marketing,Y,Y
6228,online,2021,Humanities,2nd,Europe,,"BTC,ETH",trade,++,1-3,+,,study/research,N,N
6229,online,2021,STEM,PhD,China,Finance,"ETH,ALT",trade,++,,+++,,friends,Y,Y
6230,online,2021,Business,MSc,Turkey,Technology,DOGE,"trade,remittance",++,1-3,,25,marketing,Y,Y
6231,f2f,2021,STEM,PhD,UK,Engineering,"ETH,DOGE",trade,+++,,-,,study/research,Y,N
6232,f2f,2021,STEM,2nd,Europe,Finance,"BTC,NFT,DOGE",trade,+,1,--,,friends,Y,Y
6233,f2f,2020,STEM,2nd,Africa,Finance,"ETH,NFT,ALT",trade,+++,5+,--,,marketing,N,N
6234,online,2020,Business,PhD,ME,Legal,NFT,trade,++,1,,,marketing,Y,N
6235,online,2020,Business,PhD,South America,Finance,ALT,"remittance,trans",+++,1-3,,50,study/research,Y,Y
6236,online,2021,Humanities,1st,USA,Retail,"NFT,ALT",trade,+,1,--,,marketing,Y,N
6237,online,2020,Business,PhD,China,Technology,ALT,"remittance,trans",++,1,,50,study/research,Y,N
6238,online,2024,Business,1st,Europe,Retail,"BTC,ALT","remittance,trans",++,11,,75,friends,Y,Y
6239,f2f,2020,Business,2nd,USA,Finance,"BTC,ETH,ALT",remittance,+,5+,,25,study/research,N,Y
6240,f2f,2020,Business,2nd,USA,Legal,"BTC,ALT",remittance,+++,1-3,,25,marketing,N,Y
6241,f2f,2020,STEM,PhD,ME,Retail,"BTC,NFT,DOGE",trade,++,1,--,,friends,N,Y
6242,online,2024,Humanities,1st,ME,Engineering,"BTC,ETH",remittance,+++,1-3,,25,family,N,Y
6243,online,2021,STEM,PhD,China,Finance,"BTC,ETH","trade,remittance",++,1,++,75,family,Y,N
6244,online,2021,Business,PhD,Africa,Retail,"BTC,ETH","trade,remittance",,1,++,,family,Y,N
6245,online,2022,STEM,PhD,Europe,Technology,,"trade,remittance",+++,1,++,,study/research,Y,N
6246,f2f,2023,Business,PhD,USA,,"ETH,DOGE","remittance,trans",+++,1-3,,50,marketing,Y,Y
6247,online,2024,Business,MSc,South America,Medical,"ETH,NFT,ALT","remittance,trans",++,11,,25,family,Y,Y
6248,online,2024,Business,1st,China,Engineering,ETH,"remittance,trans",++,5+,,25,study/research,Y,Y
6249,online,2023,Business,1st,South America,Finance,"BTC,ALT","remittance,trans",+++,,,50,marketing,Y,N
6250,online,2024,STEM,3rd,Europe,Technology,ALT,"remittance,trans",+++,11,,50,friends,Y,Y
6251,online,2021,STEM,MSc,South America,Engineering,,"trade,remittance",+,1,,75,family,Y,N
6252,online,2023,Business,3rd,South America,Retail,"BTC,ALT","remittance,trans",+++,1,,100,study/research,Y,Y
6253,online,2024,STEM,Phd,Turkey,,"ETH,ALT","remittance,trans",+++,,,50,study/research,N,Y
6254,online,2020,Humanities,1st,Turkey,Legal,"BTC,NFT,DOGE",trade,+,1,--,,friends,Y,N
6255,f2f,2022,STEM,PhD,China,Medical,"ETH,DOGE",remittance,+,1-3,,75,family,N,Y
6256,f2f,2024,Business,MSc,Turkey,Technology,"BTC,ALT","remittance,trans",+++,11,,50,marketing,Y,Y
6257,online,2022,Humanities,MSc,India,Medical,"BTC,ETH",remittance,++,1-3,,100,friends,Y,Y
6258,online,2024,STEM,MSc,Turkey,Technology,ETH,"trade,remittance",+++,1,++,25,marketing,Y,Y
6259,online,2020,Humanities,1st,China,Medical,"BTC,ALT",trade,++,1,,,marketing,Y,N
6260,f2f,2023,Business,PhD,Turkey,Engineering,"BTC,NFT","trade,remittance,trans",++,1-3,++,75,friends,Y,Y
6261,online,2023,Humanities,Phd,Turkey,Finance,"BTC,ALT","remittance,trans",++,4-5,,50,study/research,Y,Y
6262,f2f,2021,STEM,MSc,China,Finance,"BTC,ETH","trade,remittance",+++,1-3,+++,50,marketing,Y,Y
6263,online,2021,STEM,1st,USA,Finance,BTC,"remittance,trans",+++,11,,25,study/research,N,Y
6264,online,2020,STEM,PhD,USA,Finance,"BTC,DOGE","remittance,trans",++,1,,75,family,Y,Y
6265,online,2023,Humanities,2nd,USA,Medical,"BTC,ALT",trade,+,1-3,--,,study/research,N,N
6266,f2f,2020,STEM,Phd,USA,,ETH,remittance,+++,4-5,,25,marketing,N,Y
6267,online,2020,Business,1st,ME,Public,NFT,trade,+,1-3,,,friends,Y,N
6268,online,2024,STEM,PhD,Turkey,Finance,ETH,trade,+,5+,,,marketing,Y,N
6269,online,2024,Business,2nd,China,Retail,,"trade,remittance,trans",,,++,25,family,N,Y
6270,online,2022,Business,2nd,Europe,Finance,ETH,trade,++,1-3,++,,friends,Y,N
6271,online,2022,STEM,PhD,Africa,Retail,ETH,"trade,remittance",+++,1-3,+++,100,family,Y,Y
6272,online,2024,Humanities,1st,Turkey,Technology,"ETH,ALT","remittance,trans",++,4-5,,25,family,Y,Y
6273,online,2022,Humanities,Phd,China,Technology,ALT,"remittance,trans",+++,5+,,50,study/research,N,Y
6274,f2f,2021,STEM,MSc,Turkey,Retail,ETH,"trade,remittance",+++,4-5,+++,75,study/research,N,Y
6275,f2f,2021,STEM,PhD,Africa,Finance,"ETH,DOGE",trade,+++,4-5,++,,friends,Y,N
6276,f2f,2021,STEM,Phd,South America,Finance,"BTC,ALT","remittance,trans",+++,11,,100,marketing,Y,Y
6277,online,2021,Business,1st,Europe,Finance,"BTC,ETH",trade,++,1,-,,marketing,Y,Y
6278,online,2024,STEM,2nd,ME,,BTC,trade,+++,1,--,,marketing,Y,N
6279,online,2021,Humanities,MSc,ME,,"BTC,NFT,DOGE",trade,++,1,--,,study/research,Y,Y
6280,online,2024,Business,MSc,India,Technology,BTC,"trade,remittance,trans",+++,1-3,--,,family,Y,Y
6281,f2f,2022,Business,PhD,India,Engineering,"BTC,ETH","trade,remittance,trans",++,1-3,+++,25,family,Y,Y
6282,online,2023,STEM,2nd,South America,Retail,"BTC,ETH",remittance,+++,1,,25,family,Y,Y
6283,online,2020,Business,MSc,Turkey,,"BTC,NFT,ALT",trade,+,1,,,marketing,N,N
6284,f2f,2023,Humanities,Phd,South America,Technology,"ETH,NFT,ALT","remittance,trans",+++,1,,50,study/research,Y,Y
6285,online,2020,Business,MSc,USA,Legal,BTC,remittance,+++,1-3,,25,marketing,Y,Y
6286,online,2020,Business,3rd,USA,Retail,"ETH,ALT",remittance,+++,,,25,marketing,Y,Y
6287,f2f,2022,Business,PhD,Turkey,Legal,ALT,"remittance,trans",++,4-5,,50,study/research,Y,Y
6288,f2f,2023,STEM,3rd,Turkey,Legal,"BTC,DOGE","remittance,trans",++,1,,75,marketing,Y,Y
6289,online,2022,Humanities,2nd,ME,,"BTC,NFT,DOGE",trade,++,1,-,,marketing,Y,Y
6290,f2f,2022,Business,PhD,Africa,,"ETH,ALT",remittance,++,1,,25,friends,Y,Y
6291,online,2021,STEM,MSc,China,Technology,"BTC,ETH","trade,remittance",+++,4-5,-,,marketing,Y,Y
6292,online,2023,Humanities,3rd,Turkey,Engineering,"ETH,DOGE",remittance,+,1-3,,50,friends,Y,Y
6293,online,2024,Business,MSc,Turkey,Technology,BTC,"trade,remittance,trans",+++,1-3,,,family,Y,Y
6294,online,2022,Business,PhD,China,Engineering,ETH,"trade,remittance,trans",++,,,25,study/research,Y,Y
6295,online,2022,STEM,2nd,South America,Technology,"BTC,DOGE",remittance,+++,4-5,,25,marketing,N,Y
6296,online,2021,Business,2nd,Africa,Technology,ETH,remittance,+,1-3,,75,study/research,Y,Y
6297,online,2023,STEM,PhD,Africa,Medical,BTC,trade,++,1,--,,marketing,Y,N
6298,online,2023,Business,MSc,ME,Medical,"BTC,ETH,ALT",trade,++,1,--,,marketing,N,Y
6299,f2f,2021,STEM,PhD,Europe,Engineering,"BTC,NFT",trade,++,,++,,friends,Y,Y
6300,online,2021,STEM,MSc,UK,Engineering,"BTC,ETH,ALT",trade,+++,5+,-,,friends,Y,Y
6301,f2f,2024,Business,1st,China,Technology,"ETH,DOGE","remittance,trans",++,5+,,25,study/research,N,Y
6302,f2f,2024,Business,MSc,China,Technology,BTC,"remittance,trans",+++,1,,50,friends,Y,Y
6303,online,2024,Business,MSc,China,Finance,"ETH,DOGE","remittance,trans",+++,1,,50,study/research,N,Y
6304,online,2022,STEM,Phd,South America,Technology,BTC,"remittance,trans",+++,11,,25,study/research,N,Y
6305,online,2022,Business,PhD,India,Technology,ETH,"trade,remittance",+++,4-5,-,25,family,Y,Y
6306,online,2023,Business,3rd,South America,Legal,"BTC,ALT","remittance,trans",+++,1-3,,25,study/research,Y,Y
6307,online,2020,Humanities,2nd,South America,Medical,"NFT,ALT",remittance,++,1-3,,75,study/research,N,Y
6308,online,2024,Business,3rd,USA,Finance,ETH,"remittance,trans",+++,1-3,,25,friends,Y,Y
6309,online,2021,STEM,PhD,Europe,Finance,"BTC,ETH",trade,+++,4-5,++,,friends,Y,Y
6310,online,2021,Business,2nd,Europe,Engineering,"BTC,ETH","trade,remittance,trans",+++,1-3,++,,friends,Y,N
6311,online,2020,Humanities,2nd,USA,Retail,"BTC,NFT",remittance,++,1-3,,100,family,N,Y
6312,online,2021,STEM,MSc,Turkey,Retail,"BTC,ETH","trade,remittance,trans",+++,1-3,+,25,family,Y,N
6313,online,2020,Business,2nd,Europe,Finance,DOGE,"trade,remittance,trans",++,1-3,++,100,friends,Y,Y
6314,online,2024,Humanities,2nd,ME,Medical,NFT,trade,+,1,-,,friends,Y,Y
6315,online,2021,Humanities,MSc,USA,,NFT,trade,+,1-3,-,,friends,Y,N
6316,online,2024,Business,1st,South America,Retail,"BTC,ALT","remittance,trans",+++,4-5,,50,study/research,Y,Y
6317,online,2020,STEM,3rd,Africa,Engineering,"BTC,ETH",remittance,++,11-3,,50,marketing,N,Y
6318,online,2023,Humanities,PhD,Turkey,Retail,"BTC,ALT",remittance,+++,,,25,friends,Y,Y
6319,f2f,2023,Business,MSc,Turkey,Finance,"BTC,ETH",trade,+++,,+,,study/research,Y,Y
6320,online,2022,STEM,1st,South America,Medical,"BTC,ETH",remittance,++,4-5,,100,friends,N,Y
6321,online,2023,STEM,MSc,ME,Technology,BTC,"trade,remittance",+++,1-3,++,25,family,N,Y
6322,online,2021,Humanities,2nd,Africa,,"BTC,ETH",trade,++,1-3,++,,friends,Y,N
6323,online,2022,STEM,3rd,Turkey,Medical,"BTC,ALT",remittance,+++,11-3,,75,family,Y,N
6324,online,2023,Business,1st,USA,Public,NFT,trade,+++,1-3,--,,marketing,N,N
6325,online,2021,Business,2nd,Africa,Finance,BTC,remittance,++,,,50,friends,Y,Y
6326,online,2022,STEM,PhD,China,Medical,"ETH,NFT,ALT",remittance,+++,4-5,,50,marketing,Y,Y
6327,online,2024,STEM,3rd,India,Finance,"BTC,ETH",remittance,++,4-5,,75,marketing,N,N
6328,online,2023,Humanities,PhD,India,Technology,ETH,trade,+,1-3,,,marketing,Y,Y
6329,f2f,2024,STEM,MSc,China,Technology,"BTC,NFT,ALT",trade,++,4-5,-,,study/research,Y,Y
6330,f2f,2021,STEM,2nd,ME,Medical,"BTC,ETH,ALT",trade,++,1-3,,,marketing,Y,N
6331,f2f,2024,STEM,PhD,China,Retail,"BTC,DOGE","remittance,trans",++,,,75,study/research,Y,N
6332,online,2020,STEM,MSc,ME,,"BTC,NFT,DOGE",trade,++,1-3,+,,marketing,Y,Y
6333,online,2021,Humanities,PhD,South America,Medical,"BTC,NFT",remittance,++,1,,75,study/research,Y,Y
6334,f2f,2024,Business,1st,Africa,Medical,BTC,remittance,++,,,75,marketing,N,Y
6335,f2f,2021,STEM,PhD,Turkey,,"BTC,NFT,DOGE",trade,++,1,--,,marketing,Y,Y
6336,online,2021,Humanities,MSc,South America,Technology,"BTC,ALT","remittance,trans",+++,1,,25,family,N,Y
6337,online,2023,Business,MSc,ME,Medical,"BTC,ETH","trade,remittance",+++,4-5,,25,marketing,Y,N
6338,online,2022,Business,1st,Turkey,Medical,ETH,remittance,+++,1,,75,friends,Y,Y
6339,f2f,2023,STEM,3rd,USA,Technology,"ETH,NFT,ALT","remittance,trans",+++,1-3,,75,marketing,Y,Y
6340,f2f,2024,STEM,1st,Turkey,Finance,"BTC,ETH","remittance,trans",++,5+,,25,study/research,Y,Y
6341,online,2022,Business,PhD,India,Finance,"BTC,ETH","trade,remittance,trans",++,1-3,++,,family,Y,Y
6342,f2f,2020,Humanities,PhD,USA,Legal,"BTC,ETH,NFT",trade,+,1,,,marketing,Y,N
6343,online,2021,Business,PhD,India,Retail,ALT,"remittance,trans",++,1,,100,marketing,Y,N
6344,online,2024,STEM,1st,USA,Finance,"BTC,ALT","remittance,trans",++,11,,75,study/research,Y,N
6345,online,2021,STEM,MSc,China,Engineering,ETH,"trade,remittance",+++,4-5,,25,family,Y,Y
6346,online,2020,Humanities,PhD,USA,Legal,BTC,remittance,+++,1-31-3,,25,family,Y,Y
6347,online,2022,Business,PhD,Turkey,Finance,"BTC,ALT","remittance,trans",+++,1-3,,25,study/research,Y,N
6348,online,2020,Business,MSc,South America,Engineering,BTC,"trade,remittance,trans",+++,1-3,++,25,family,Y,Y
6349,online,2023,Business,3rd,Turkey,Retail,"BTC,ETH","trade,remittance,trans",+++,1-3,--,25,family,Y,Y
6350,f2f,2023,STEM,PhD,ME,Technology,ETH,"trade,remittance",+++,4-5,-,,family,Y,Y
6351,f2f,2021,STEM,PhD,UK,Technology,"ETH,DOGE",trade,+++,1-3,++,,study/research,Y,Y
6352,online,2022,STEM,MSc,ME,Medical,"BTC,ETH",remittance,+++,11-3,,25,family,Y,N
6353,online,2021,STEM,1st,China,,"BTC,ETH,ALT",remittance,+,,,50,friends,Y,Y
6354,online,2022,Business,MSc,China,Technology,DOGE,"trade,remittance",+,4-5,,25,family,Y,Y
6355,online,2024,Business,MSc,Turkey,Retail,"BTC,NFT","remittance,trans",+++,1-3,,100,friends,Y,Y
6356,online,2023,STEM,PhD,USA,Finance,"BTC,ETH,ALT",remittance,++,1,,75,friends,Y,Y
6357,f2f,2024,Business,Phd,Europe,Technology,"ETH,DOGE","remittance,trans",++,,,25,study/research,N,Y
6358,f2f,2022,Humanities,1st,ME,Engineering,BTC,remittance,++,1-3,,50,family,Y,Y
6359,online,2024,Business,3rd,Turkey,Technology,"BTC,NFT","remittance,trans",++,4-5,,25,marketing,Y,Y
6360,f2f,2020,STEM,MSc,Europe,Legal,ETH,remittance,+++,1-31-3,,100,marketing,Y,Y
6361,online,2022,STEM,2nd,Africa,,"BTC,ETH,ALT",trade,++,1,,,marketing,Y,N
6362,online,2022,Business,PhD,USA,Finance,"BTC,ETH","remittance,trans",+++,1,,100,study/research,Y,N
6363,online,2024,STEM,MSc,ME,Finance,,trade,++,1,,,friends,N,Y
6364,online,2024,Business,PhD,USA,Technology,"BTC,DOGE","remittance,trans",+++,,,100,marketing,Y,Y
6365,online,2024,Business,MSc,Turkey,Technology,ALT,"remittance,trans",+++,,,50,study/research,Y,Y
6366,online,2021,STEM,MSc,China,Engineering,"BTC,ETH","trade,remittance",,5+,+++,50,family,Y,Y
6367,online,2023,Business,1st,Africa,,DOGE,trade,+,1,+,,marketing,Y,N
6368,online,2021,STEM,PhD,China,Engineering,"BTC,ETH",trade,+++,1-3,,,study/research,Y,Y
6369,online,2024,STEM,3rd,South America,Technology,"NFT,ALT","remittance,trans",+++,1,,25,friends,Y,Y
6370,f2f,2023,STEM,2nd,ME,Technology,"BTC,ETH",remittance,++,1-3,,25,family,Y,Y
6371,f2f,2023,Business,3rd,USA,Engineering,,"remittance,trans",+++,11,,100,marketing,Y,Y
6372,online,2023,Business,MSc,USA,Technology,"ETH,DOGE","remittance,trans",+++,1,,75,study/research,Y,N
6373,f2f,2021,STEM,PhD,India,Engineering,BTC,"trade,remittance",+++,4-5,-,25,family,Y,N
6374,f2f,2020,Business,MSc,USA,Finance,"ETH,ALT","remittance,trans",++,1,,75,study/research,Y,Y
6375,online,2021,Business,1st,Turkey,Technology,"BTC,DOGE",trade,+,1,--,,marketing,Y,N
6376,online,2020,Business,MSc,South America,Engineering,BTC,"trade,remittance",+++,5+,++,25,marketing,Y,Y
6377,online,2024,Humanities,Phd,South America,Finance,ALT,"remittance,trans",++,1,,25,study/research,N,Y
6378,f2f,2023,Humanities,MSc,USA,,ALT,"remittance,trans",+++,11,,75,friends,Y,Y
6379,online,2020,Humanities,3rd,USA,Legal,DOGE,trade,+,1-3,+,,marketing,Y,N
6380,online,2024,STEM,2nd,Turkey,Legal,,remittance,+++,1-3,,25,study/research,N,N
6381,online,2024,Business,MSc,India,Engineering,BTC,"trade,remittance",+++,1-3,+++,25,study/research,Y,Y
6382,online,2021,Business,PhD,ME,Retail,"BTC,ETH","trade,remittance",+++,1,+,75,study/research,N,Y
6383,online,2020,Business,3rd,South America,Technology,NFT,"trade,remittance,trans",++,1-3,++,25,marketing,N,N
6384,f2f,2020,STEM,1st,China,Technology,BTC,remittance,+++,1,,75,marketing,N,N
6385,online,2022,STEM,MSc,Europe,Retail,"BTC,NFT","trade,remittance",++,4-5,,50,marketing,N,Y
6386,online,2020,Humanities,1st,USA,Public,DOGE,trade,+,1,--,,marketing,Y,N
6387,online,2024,STEM,2nd,Africa,Finance,DOGE,trade,+,1,++,,family,Y,Y
6388,online,2023,Business,3rd,China,Technology,"BTC,ETH","trade,remittance,trans",++,1-3,-,75,family,N,Y
6389,online,2021,STEM,MSc,Turkey,Engineering,"BTC,ETH","trade,remittance",++,1-3,,,family,Y,Y
6390,online,2024,Business,2nd,USA,,"BTC,NFT,DOGE",trade,+++,1,--,,friends,Y,N
6391,online,2021,Business,MSc,India,Medical,ETH,"trade,remittance",+++,5+,+,,family,N,N
6392,f2f,2021,STEM,2nd,ME,Retail,"BTC,ETH",trade,+,1,++,,marketing,N,N
6393,online,2020,Business,MSc,USA,Technology,"BTC,ETH","trade,remittance,trans",,1-3,+,50,marketing,Y,N
6394,online,2024,STEM,1st,Turkey,Technology,ETH,"remittance,trans",+++,1-3,,100,family,Y,Y
6395,online,2022,Business,MSc,Europe,Technology,BTC,"trade,remittance,trans",,1-3,--,50,study/research,Y,Y
6396,online,2021,Humanities,PhD,USA,Technology,BTC,"remittance,trans",+++,4-5,,25,study/research,Y,Y
6397,f2f,2022,STEM,3rd,ME,,"BTC,ALT",remittance,+++,1,,100,friends,Y,Y
6398,online,2021,STEM,2nd,Africa,Finance,"BTC,ALT",trade,++,4-5,-,,friends,Y,Y
6399,online,2021,STEM,2nd,Africa,Finance,,trade,++,1-3,--,,marketing,N,Y
6400,f2f,2022,STEM,PhD,Turkey,Finance,"NFT,ALT",remittance,+++,,,100,family,Y,Y
6401,f2f,2021,Humanities,PhD,Turkey,Legal,"ETH,ALT","remittance,trans",+++,4-5,,75,study/research,Y,Y
6402,online,2021,Humanities,1st,USA,Public,"NFT,ALT",trade,+++,1,-,,marketing,N,N
6403,online,2021,STEM,2nd,Africa,Medical,"BTC,NFT,DOGE",trade,++,4-5,++,,friends,N,Y
6404,online,2021,Business,MSc,Turkey,Engineering,BTC,"trade,remittance",+++,1,+,25,study/research,Y,Y
6405,online,2023,Business,PhD,India,Medical,BTC,"trade,remittance",+,1-3,++,25,marketing,Y,N
6406,online,2024,STEM,3rd,China,Technology,"BTC,ALT","remittance,trans",++,11,,75,family,Y,N
6407,f2f,2020,Humanities,PhD,Europe,Retail,"BTC,ETH,NFT",trade,+,1,,,marketing,N,N
6408,f2f,2021,Business,2nd,ME,Finance,ETH,trade,++,1-3,--,,marketing,N,N
6409,online,2020,Business,3rd,USA,Engineering,BTC,"trade,remittance,trans",,,-,25,friends,Y,N
6410,f2f,2021,Business,2nd,USA,Technology,"BTC,ALT",remittance,+++,,,25,marketing,N,Y
6411,online,2021,Business,2nd,Europe,Finance,BTC,remittance,+++,1,,25,marketing,Y,Y
6412,f2f,2022,STEM,MSc,China,Engineering,,"trade,remittance,trans",+++,,,25,study/research,Y,Y
6413,online,2020,STEM,MSc,UK,Finance,"BTC,ETH",trade,++,4-5,+++,,friends,Y,N
6414,online,2022,Business,2nd,Turkey,Engineering,BTC,remittance,+++,11-3,,100,family,Y,Y
6415,f2f,2020,STEM,MSc,UK,Engineering,BTC,trade,+++,1,+,,study/research,Y,Y
6416,f2f,2024,Business,1st,USA,Finance,"BTC,ALT","remittance,trans",++,4-5,,100,family,Y,Y
6417,online,2022,STEM,3rd,India,Finance,"BTC,ALT",remittance,+,1-3,,75,friends,N,Y
6418,online,2024,STEM,MSc,China,Medical,"BTC,ETH","trade,remittance",+++,4-5,++,25,family,Y,Y
6419,online,2021,Business,MSc,South America,Finance,"BTC,ETH","trade,remittance,trans",+++,,++,25,marketing,Y,Y
6420,online,2022,STEM,1st,India,Retail,"BTC,ALT","remittance,trans",+++,,,25,family,Y,Y
6421,f2f,2020,Business,1st,Turkey,Medical,"BTC,ETH,ALT",trade,++,1-3,,,marketing,Y,Y
6422,online,2020,STEM,2nd,Turkey,Medical,ETH,trade,+,4-5,++,,marketing,N,Y
6423,online,2020,Humanities,PhD,USA,,BTC,remittance,+++,1-31-3,,75,marketing,N,N
6424,online,2024,STEM,1st,Turkey,Medical,BTC,remittance,++,,,100,friends,N,N
6425,f2f,2021,Humanities,MSc,USA,,"BTC,ALT",remittance,+++,1,,75,study/research,N,Y
6426,f2f,2024,Humanities,MSc,USA,Finance,BTC,remittance,+++,,,25,family,Y,Y
6427,f2f,2021,STEM,MSc,South America,Technology,BTC,"trade,remittance",,5+,-,25,friends,N,Y
6428,f2f,2021,Business,PhD,Turkey,Public,"ETH,ALT",remittance,+++,,,25,marketing,Y,Y
6429,f2f,2021,STEM,MSc,Turkey,Engineering,"BTC,ETH","trade,remittance",+++,,,50,family,Y,N
6430,f2f,2024,Business,PhD,China,Engineering,"BTC,NFT","trade,remittance,trans",+++,1-3,--,25,family,N,N
6431,f2f,2023,Business,PhD,ME,Finance,"BTC,ETH,NFT",trade,+++,5+,++,,study/research,Y,Y
6432,f2f,2024,Business,MSc,South America,Retail,ETH,"trade,remittance,trans",,1-3,+,100,marketing,N,N
6433,online,2021,Humanities,1st,Africa,Legal,"BTC,NFT,ALT",trade,+,1,-,,study/research,N,N
6434,online,2024,Business,Phd,USA,Finance,"ETH,DOGE","remittance,trans",++,5+,,50,friends,N,Y
6435,online,2021,STEM,MSc,Turkey,Technology,ETH,"trade,remittance",++,,-,50,family,Y,Y
6436,online,2022,Humanities,3rd,Turkey,Finance,"BTC,ETH",remittance,+,1-3,,100,marketing,Y,Y
6437,f2f,2023,STEM,PhD,UK,Finance,"ETH,DOGE",trade,+++,1-3,++,,study/research,N,N
6438,online,2021,Humanities,MSc,USA,Legal,"NFT,ALT",trade,+,1,-,,marketing,Y,N
6439,online,2020,Humanities,2nd,Turkey,,ETH,trade,+,1,--,,friends,Y,N
6440,online,2022,Humanities,MSc,ME,Medical,ETH,remittance,+++,1,,75,marketing,Y,N
6441,online,2023,Business,MSc,India,Technology,"BTC,ETH","trade,remittance",+++,,--,25,family,Y,Y
6442,f2f,2022,Business,PhD,USA,Legal,"BTC,ETH,ALT","remittance,trans",++,1-3,,25,marketing,N,Y
6443,f2f,2022,STEM,1st,ME,Medical,"NFT,ALT",remittance,+++,1,,75,marketing,Y,Y
6444,f2f,2023,Humanities,3rd,Turkey,Finance,ALT,"remittance,trans",+++,,,25,friends,Y,Y
6445,online,2023,STEM,Phd,USA,,"BTC,ALT",remittance,++,1-31-3,,25,study/research,N,Y
6446,online,2022,Business,1st,ME,Engineering,BTC,remittance,++,1,,75,study/research,Y,N
6447,online,2021,STEM,PhD,South America,Engineering,BTC,"trade,remittance",+,1,++,100,family,N,Y
6448,f2f,2023,Business,1st,Africa,,,trade,+,1,--,,marketing,Y,N
6449,online,2021,STEM,2nd,Africa,,"BTC,ETH",trade,+,1,-,,friends,Y,N
6450,online,2020,STEM,MSc,Africa,Retail,"BTC,ETH",trade,++,1,--,,friends,Y,Y
6451,online,2024,Humanities,MSc,South America,Finance,"BTC,ALT","remittance,trans",+++,4-5,,25,friends,N,Y
6452,online,2023,STEM,2nd,South America,,BTC,remittance,+,1-3,,75,marketing,Y,Y
6453,online,2023,STEM,2nd,South America,Public,BTC,remittance,+++,1-3,,25,marketing,N,N
6454,online,2023,Business,3rd,South America,Finance,ETH,"remittance,trans",++,1,,75,study/research,Y,Y
6455,online,2024,Business,3rd,Europe,Finance,"BTC,ALT","remittance,trans",+++,11,,25,study/research,Y,Y
6456,online,2020,STEM,1st,South America,Legal,"BTC,ETH",remittance,+,1-3,,25,marketing,N,Y
6457,online,2020,Humanities,3rd,USA,Finance,"BTC,DOGE","remittance,trans",++,11,,100,study/research,N,Y
6458,online,2021,Business,3rd,Turkey,Legal,ALT,"remittance,trans",+++,,,25,marketing,Y,Y
6459,online,2021,STEM,PhD,Africa,Finance,"NFT,ALT",trade,++,4-5,+++,,study/research,N,Y
6460,f2f,2022,Business,Phd,South America,Technology,ETH,"remittance,trans",+++,4-5,,75,study/research,N,Y
6461,f2f,2021,STEM,1st,ME,Finance,DOGE,trade,++,1,--,,friends,Y,N
6462,online,2024,STEM,Phd,USA,Finance,"BTC,ALT","remittance,trans",+++,1,,50,marketing,Y,Y
6463,f2f,2022,Humanities,2nd,Turkey,Finance,"BTC,ETH",trade,++,1-3,--,,friends,Y,Y
6464,online,2022,STEM,1st,China,Technology,"BTC,ETH",remittance,+++,1,,75,friends,Y,Y
6465,f2f,2020,Humanities,3rd,USA,Medical,"BTC,ETH",remittance,+,5+,,75,friends,N,Y
6466,online,2024,STEM,MSc,USA,Technology,"BTC,ETH",remittance,++,1-31-3,,100,family,Y,Y
6467,f2f,2024,Business,MSc,India,Technology,"BTC,ALT","remittance,trans",++,4-5,,50,study/research,Y,Y
6468,f2f,2020,Humanities,PhD,USA,,DOGE,trade,+,1,--,,friends,N,N
6469,online,2021,STEM,3rd,Europe,Technology,"BTC,DOGE",trade,+++,,+,,friends,Y,Y
6470,online,2022,STEM,MSc,India,Engineering,"ETH,DOGE",remittance,+++,4-5,,75,family,Y,Y
6471,f2f,2020,STEM,1st,Europe,Retail,"BTC,ETH,ALT",trade,+++,1-3,++,,friends,Y,Y
